Date,Open,High,Low,Close,Volume
05/25/2022,"138.43","141.79","138.34","140.52","92,482,703"
05/24/2022,"140.81","141.97","137.33","140.36","104,132,703"
05/23/2022,"137.79","143.26","137.65","143.11","117,726,305"
05/20/2022,"139.09","140.70","132.61","137.59","137,426,094"
05/19/2022,"139.88","141.66","136.60","137.35","136,095,594"
05/18/2022,"146.85","147.36","139.90","140.82","109,742,898"
05/17/2022,"148.86","149.77","146.68","149.24","78,336,250"
05/16/2022,"145.55","147.52","144.18","145.54","86,643,773"
05/13/2022,"144.59","148.11","143.11","147.11","113,990,898"
05/12/2022,"142.77","146.20","138.80","142.56","182,602,000"
05/11/2022,"153.50","155.45","145.81","146.50","142,689,797"
05/10/2022,"155.52","156.74","152.93","154.51","115,366,703"
05/09/2022,"154.93","155.83","151.49","152.06","131,577,906"
05/06/2022,"156.01","159.44","154.18","157.28","116,124,602"
05/05/2022,"163.85","164.08","154.95","156.77","130,525,297"
05/04/2022,"159.67","166.48","159.26","166.02","108,256,492"
05/03/2022,"158.15","160.71","156.32","159.48","88,966,531"
05/02/2022,"156.71","158.23","153.27","157.96","123,055,297"
04/29/2022,"161.84","166.20","157.25","157.65","131,747,594"
04/28/2022,"159.25","164.52","158.93","163.64","130,216,797"
04/27/2022,"155.91","159.79","155.38","156.57","88,063,195"
04/26/2022,"162.25","162.34","156.72","156.80","95,623,242"
04/25/2022,"161.12","163.17","158.46","162.88","96,046,383"
04/22/2022,"166.46","167.87","161.50","161.79","84,882,414"
04/21/2022,"168.91","171.53","165.91","166.42","87,227,766"
04/20/2022,"168.76","168.88","166.10","167.23","67,929,805"
04/19/2022,"165.02","167.82","163.91","167.40","67,723,828"
04/18/2022,"163.92","166.60","163.57","165.07","69,023,938"
04/14/2022,"170.62","171.27","165.04","165.29","75,329,375"
04/13/2022,"167.39","171.04","166.77","170.40","70,618,930"
04/12/2022,"168.02","169.87","166.64","167.66","79,265,188"
04/11/2022,"168.71","169.03","165.50","165.75","72,246,711"
04/08/2022,"171.78","171.78","169.20","170.09","76,575,516"
04/07/2022,"171.16","173.36","169.85","172.14","77,594,648"
04/06/2022,"172.36","173.63","170.13","171.83","89,058,781"
04/05/2022,"177.50","178.30","174.42","175.06","73,401,789"
04/04/2022,"174.57","178.49","174.44","178.44","76,545,984"
04/01/2022,"174.03","174.88","171.94","174.31","78,751,328"
03/31/2022,"177.84","178.03","174.40","174.61","103,049,297"
03/30/2022,"178.55","179.61","176.70","177.77","92,633,148"
03/29/2022,"176.69","179.01","176.34","178.96","100,589,398"
03/28/2022,"172.17","175.73","172.00","175.60","90,371,922"
03/25/2022,"173.88","175.28","172.75","174.72","80,546,156"
03/24/2022,"171.06","174.14","170.21","174.07","90,131,422"
03/23/2022,"167.99","172.64","167.65","170.21","98,062,672"
03/22/2022,"165.51","169.42","164.91","168.82","81,532,008"
03/21/2022,"163.51","166.35","163.02","165.38","95,811,352"
03/18/2022,"160.51","164.48","159.76","163.98","123,511,695"
03/17/2022,"158.61","161.00","157.63","160.62","75,615,375"
03/16/2022,"157.05","160.00","154.46","159.59","102,300,203"
03/15/2022,"150.90","155.57","150.38","155.09","92,964,305"
03/14/2022,"151.45","154.12","150.10","150.62","108,732,094"
03/11/2022,"158.93","159.28","154.50","154.73","96,970,094"
03/10/2022,"160.20","160.39","155.98","158.52","105,342,000"
03/09/2022,"161.48","163.41","159.41","162.95","91,454,914"
03/08/2022,"158.82","162.88","155.80","157.44","131,148,297"
03/07/2022,"163.36","165.02","159.04","159.30","96,418,852"
03/04/2022,"164.49","165.55","162.10","163.17","83,819,594"
03/03/2022,"168.47","168.91","165.55","166.23","76,678,438"
03/02/2022,"164.39","167.36","162.95","166.56","79,724,750"
03/01/2022,"164.70","166.60","161.97","163.20","83,474,430"
02/28/2022,"163.06","165.42","162.43","165.12","95,056,633"
02/25/2022,"163.84","165.12","160.87","164.85","91,974,227"
02/24/2022,"152.58","162.85","152.00","162.74","141,147,500"
02/23/2022,"165.54","166.15","159.75","160.07","90,009,250"
02/22/2022,"164.98","166.69","162.15","164.32","91,162,758"
02/18/2022,"169.82","170.54","166.19","167.30","82,772,672"
02/17/2022,"171.03","171.91","168.47","168.88","69,589,344"
02/16/2022,"171.85","173.34","170.05","172.55","61,177,398"
02/15/2022,"170.97","172.95","170.25","172.79","64,286,320"
02/14/2022,"167.37","169.58","166.56","168.88","86,185,531"
